status,medicine_id,name,kind,existing_category_id,category_id,confidence,efficacy,pharmacology,atc,aliases,aliases_added,alias_conflicts,detail_url,reason
review_missing_efficacy,,磺胺二甲嘧啶干混悬剂,western,,2,0.96,,,系统用抗细菌药 | 磺胺类和甲氧苄啶 | 短效磺胺类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%A3%BA%E8%83%BA%E4%BA%8C%E7%94%B2%E5%98%A7%E5%95%B6%E5%B9%B2%E6%B7%B7%E6%82%AC%E5%89%82,站点药理或 ATC 分类明确为抗感染药
review_unclassified,,环孢素口服溶液,western,,,0.0,1．适用于预防和治疗同种异体器官移植或骨髓移植所发生的排斥反应或移植物抗宿主反应。2．经其他免疫抑制剂治疗无效的狼疮肾炎、难治性肾病综合症等自身免疫性疾病。,免疫系统用药 | 免疫抑制药,免疫抑制剂 | 钙调磷酸酶抑制剂,赛斯平,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%8E%AF%E5%AD%A2%E7%B4%A0%E5%8F%A3%E6%9C%8D%E6%BA%B6%E6%B6%B2,站点分类无法可靠映射到项目现有类别
review_unclassified,,环孢素滴眼液(Ⅱ),western,,,0.0,本品可促进干眼症患者的泪液分泌，适用于与角结膜干燥症相关的眼部炎症所导致的泪液生成减少的患者。,免疫系统用药 | 免疫抑制药,眼科用药 | 其它眼科用药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%8E%AF%E5%AD%A2%E7%B4%A0%E6%BB%B4%E7%9C%BC%E6%B6%B2%28%E2%85%A1%29,站点分类无法可靠映射到项目现有类别
review_unclassified,,环孢素软胶囊,western,,,0.0,1.适用于预防同种异体肾、肝、心、骨髓等器官或组织移植所发生的排斥反应，也适用于预防及治疗骨髓移植时发生的移植物抗宿主反应(GVHD)。2.经其它免疫抑制剂治疗无效的狼疮肾炎、难治性肾病综合症等自身免疫性疾病。,免疫系统用药 | 免疫抑制药,免疫抑制剂 | 钙调磷酸酶抑制剂,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%8E%AF%E5%AD%A2%E7%B4%A0%E8%BD%AF%E8%83%B6%E5%9B%8A,站点分类无法可靠映射到项目现有类别
review_unclassified,,环孢素胶囊,western,,,0.0,1、已确认的适应症1.1移植a.器官移植─预防异体移植物的排斥反应，包括肾、肝、心、肺、心肺联合和胰移植。─治疗曾接受其它免疫抑制剂的患者所发生的移植物排斥反应。b.骨髓移植─预防骨髓移植排斥反应。─预防和治疗GVHD。1.2非移植性适应症诊断和决定处方本品者，应是具有应用免疫抑制剂，特别是环孢素经验的医师。a.内源性葡萄膜炎─活动性有致盲危险的中部或后部非感染性葡萄膜炎，而常规疗法无效或产生不可接受的不良反应者。─7-70岁肾功能正常的伴复发性视网膜炎的贝切特氏(Behcet's)葡萄膜炎患者。b.银屑病交替疗法无效或不适用的严重病例。c.异位性皮炎传统疗法无效或不适用的严重病例。d.类风湿性关节炎2、其它可能用途肾病综合征─特发性皮质激素依赖性和拮抗性肾病综合征(活检证实大多数病例为微小病变型肾病[MCD]或局灶性节段性肾小球硬化症[FSGS])，传统细胞抑制剂治疗无效、但至少尚存在50%以上的正常肾功能的患者。应用本品后，可缓解病情，或维持由其它药物包括皮质激素所产生的缓解作用，从而停用其它药物。,免疫系统用药 | 免疫抑制药,免疫抑制剂 | 钙调磷酸酶抑制剂,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%8E%AF%E5%AD%A2%E7%B4%A0%E8%83%B6%E5%9B%8A,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,环孢素滴眼液（III）,western,,,0.0,,,眼科用药 | 其它眼科用药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%8E%AF%E5%AD%A2%E7%B4%A0%E6%BB%B4%E7%9C%BC%E6%B6%B2%EF%BC%88III%EF%BC%89,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,甲氯噻嗪片,western,,,0.0,,,利尿剂 | 低限量利尿剂，噻嗪类 | 噻嗪类，单方,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%94%B2%E6%B0%AF%E5%99%BB%E5%97%AA%E7%89%87,站点分类无法可靠映射到项目现有类别
review_missing_efficacy,,甲氯芬那酸片,western,,3,0.94,,,抗炎和抗风湿药 | 非甾体抗炎药和抗风湿药 | 芬那酸类,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%94%B2%E6%B0%AF%E8%8A%AC%E9%82%A3%E9%85%B8%E7%89%87,站点药理或 ATC 分类明确为镇痛/抗炎药
review_missing_efficacy,,甲磺奈非那韦片,western,,2,0.96,,,系统用抗病毒药 | 直接作用的抗病毒药 | 蛋白酶抑制药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%94%B2%E7%A3%BA%E5%A5%88%E9%9D%9E%E9%82%A3%E9%9F%A6%E7%89%87,站点药理或 ATC 分类明确为抗感染药
review_missing_efficacy,,假单胞菌制剂,western,,,0.0,,,,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%81%87%E5%8D%95%E8%83%9E%E8%8F%8C%E5%88%B6%E5%89%82,站点分类无法可靠映射到项目现有类别
review_unclassified,,甲异靛片,western,,,0.0,主要用于治疗慢性粒细胞白血病。,抗肿瘤药 | 其他抗肿瘤药,抗肿瘤药 | 其它抗肿瘤药物 | 其它抗肿瘤药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E7%94%B2%E5%BC%82%E9%9D%9B%E7%89%87,站点分类无法可靠映射到项目现有类别
review_unclassified,,劳拉西泮片,western,,,0.0,适用于焦虑障碍的治疗或用于缓解焦虑症状以及与抑郁症状相关的焦虑的短期治疗。与日常生活压力相关的焦虑或紧张，通常不需要抗焦虑药的治疗。劳拉西泮长期应用的效果即应用4个月以上的效果还未经系统的临床研究评估。医师应定期重新评估该药对个体患者的有效性。,治疗精神障碍药 | 抗焦虑药,精神安定药 | 抗焦虑药 | 苯并二氮卓衍生物类,佳普乐,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E5%8A%B3%E6%8B%89%E8%A5%BF%E6%B3%AE%E7%89%87,站点分类无法可靠映射到项目现有类别
review_unclassified,,氯己定苯佐卡因含片,western,,,0.0,用于口腔溃疡、扁桃体炎、牙龈炎、咽炎。,耳鼻喉科用药 | 咽喉、口腔疾病用药,口腔疾病药物 | 口腔局部治疗用抗感染药和灭菌药,,,,https://www.yao86.com/%E8%A5%BF%E8%8D%AF/%E6%B0%AF%E5%B7%B1%E5%AE%9A%E8%8B%AF%E4%BD%90%E5%8D%A1%E5%9B%A0%E5%90%AB%E7%89%87,站点分类无法可靠映射到项目现有类别
