status,medicine_id,canonical_name,raw_names,proposed_category_id,category_name,confidence,source_categories,source_pages,detail_urls,reason
already_present,,瑞格列奈片,瑞格列奈片(诺和龙),11,,0.92,糖尿病,https://ypk.39.net/tangniaobing/,https://ypk.39.net/504369/,来源功效分类直接映射
already_present,,盐酸二甲双胍片,盐酸二甲双胍片(格华止) | 盐酸二甲双胍片(格华止/Merck),11,,0.92,糖尿病,https://ypk.39.net/tangniaobing/,https://ypk.39.net/507707/ | https://ypk.39.net/507701/,来源功效分类直接映射
already_present,,注射用还原型谷胱甘肽,注射用还原型谷胱甘肽(双益健),17,,0.92,糖尿病,https://ypk.39.net/tangniaobing/,https://ypk.39.net/497895/,人工审计按 PDF 类别边界修正
already_present,,消渴丸,消渴丸(白云山),11,,0.92,糖尿病,https://ypk.39.net/tangniaobing/,https://ypk.39.net/509823/,来源功效分类直接映射
already_present,,降糖宁胶囊,降糖宁胶囊,11,,0.92,糖尿病,https://ypk.39.net/tangniaobing/,https://ypk.39.net/509828/,来源功效分类直接映射
already_present,,甲巯咪唑片,甲巯咪唑片 | 甲巯咪唑片(燕京药业) | 甲巯咪唑片(胰胆舒颗粒),11,,0.92,甲状腺功能亢进,https://ypk.39.net/jzxkj/,https://ypk.39.net/506279/ | https://ypk.39.net/507723/ | https://ypk.39.net/502470/ | https://ypk.39.net/502471/,来源功效分类直接映射
review_category_conflict,,酒石酸美托洛尔片,酒石酸美托洛尔片(倍他乐克),11 | 12,,0.92,甲状腺功能亢进 | 高血压,https://ypk.39.net/jzxkj/ | https://ypk.39.net/gaoxueya/,https://ypk.39.net/499195/ | https://ypk.39.net/502450/ | https://ypk.39.net/508392/,"来源给出多个类别：[11, 12]"
already_present,,甲亢灵片,甲亢灵片(薄膜衣片),11,,0.92,甲状腺功能亢进,https://ypk.39.net/jzxkj/,https://ypk.39.net/760566/,来源功效分类直接映射
already_present,,丙硫氧嘧啶片,丙硫氧嘧啶片(万邦医药),11,,0.92,甲状腺功能亢进,https://ypk.39.net/jzxkj/,https://ypk.39.net/508156/,来源功效分类直接映射
already_present,,酒石酸美托洛尔胶囊,酒石酸美托洛尔胶囊,12,,0.92,甲状腺功能亢进,https://ypk.39.net/jzxkj/,https://ypk.39.net/502603/,人工审计按 PDF 类别边界修正
already_present,,注射用鲑降钙素,注射用鲑降钙素(盖瑞宁),11,,0.92,甲状腺功能亢进,https://ypk.39.net/jzxkj/,https://ypk.39.net/585971/,来源功效分类直接映射
already_present,,阿法骨化醇软胶囊,阿法骨化醇软胶囊(法能) | 阿法骨化醇软胶囊(延迪诺) | 阿法骨化醇软胶囊(盖诺真),11,,0.92,甲状腺功能减退,https://ypk.39.net/jzxjt/,https://ypk.39.net/699876/ | https://ypk.39.net/503488/ | https://ypk.39.net/498306/,来源功效分类直接映射
already_present,,甲状腺片,甲状腺片(宇宙),11,,0.92,甲状腺功能减退,https://ypk.39.net/jzxjt/,https://ypk.39.net/568492/,来源功效分类直接映射
already_present,,骨化三醇软胶囊,骨化三醇软胶囊(盖三淳/海德威),11,,0.92,甲状腺功能减退,https://ypk.39.net/jzxjt/,https://ypk.39.net/588248/,来源功效分类直接映射
already_present,,阿法骨化醇片,阿法骨化醇片(立庆),11,,0.92,甲状腺功能减退,https://ypk.39.net/jzxjt/,https://ypk.39.net/505877/,来源功效分类直接映射
already_present,,左甲状腺素钠片,左甲状腺素钠片(加衡),11,,0.92,甲状腺功能减退,https://ypk.39.net/jzxjt/,https://ypk.39.net/497584/ | https://ypk.39.net/503023/,来源功效分类直接映射
already_present,,醋酸奥曲肽注射液,醋酸奥曲肽注射液(生奥定),11,,0.92,甲状腺功能减退,https://ypk.39.net/jzxjt/,https://ypk.39.net/498885/,来源功效分类直接映射
already_present,,西拉普利片,西拉普利片,12,,0.92,高血压,https://ypk.39.net/gaoxueya/,https://ypk.39.net/631726/,来源功效分类直接映射
already_present,,盐酸特拉唑嗪片,盐酸特拉唑嗪片,12,,0.92,高血压,https://ypk.39.net/gaoxueya/,https://ypk.39.net/724910/,来源功效分类直接映射
already_present,,硝苯地平缓释片,硝苯地平缓释片(Ⅰ)(扬子江) | 硝苯地平缓释片(Ⅰ)(天海力),12,,0.92,高血压 | 高血脂,https://ypk.39.net/gaoxueya/ | https://ypk.39.net/gaoxuezhi/,https://ypk.39.net/508386/ | https://ypk.39.net/506509/,来源功效分类直接映射
already_present,,山菊降压胶囊,山菊降压胶囊(山楂降压胶囊),12,,0.92,高血压 | 高血脂,https://ypk.39.net/gaoxueya/ | https://ypk.39.net/gaoxuezhi/,https://ypk.39.net/637515/,来源功效分类直接映射
already_present,,缬沙坦胶囊,缬沙坦胶囊(代文),12,,0.92,高血压,https://ypk.39.net/gaoxueya/,https://ypk.39.net/579430/,来源功效分类直接映射
already_present,,硝酸甘油片,硝酸甘油片,12,,0.92,高血压 | 心脏及冠脉疾病,https://ypk.39.net/gaoxueya/ | https://ypk.39.net/guanxinbing/,https://ypk.39.net/499949/,来源功效分类直接映射
already_present,,盐酸普萘洛尔片,盐酸普萘洛尔片,12,,0.92,高血压,https://ypk.39.net/gaoxueya/,https://ypk.39.net/578531/,来源功效分类直接映射
already_present,,芪苈强心胶囊,芪苈强心胶囊(以岭),12,,0.92,高血压,https://ypk.39.net/gaoxueya/,https://ypk.39.net/632379/,来源功效分类直接映射
already_present,,珍菊降压片,珍菊降压片(雷允上),12,,0.92,高血压,https://ypk.39.net/gaoxueya/,https://ypk.39.net/497820/,来源功效分类直接映射
already_present,,血脂康胶囊,血脂康胶囊(北大维信),12,,0.92,高血脂,https://ypk.39.net/gaoxuezhi/,https://ypk.39.net/496214/,来源功效分类直接映射
already_present,,心脑清软胶囊,心脑清软胶囊(五福),12,,0.92,高血脂 | 中风偏瘫,https://ypk.39.net/gaoxuezhi/ | https://ypk.39.net/zhongfeng/,https://ypk.39.net/510070/,来源功效分类直接映射
already_present,,十三味红花丸,十三味红花丸(神水藏药),12,,0.92,高血脂,https://ypk.39.net/gaoxuezhi/,https://ypk.39.net/509483/,来源功效分类直接映射
already_present,,强力定眩片,强力定眩片,12,,0.92,高血脂,https://ypk.39.net/gaoxuezhi/,https://ypk.39.net/510136/,来源功效分类直接映射
already_present,,松龄血脉康胶囊,松龄血脉康胶囊(康弘),12,,0.92,高血脂,https://ypk.39.net/gaoxuezhi/,https://ypk.39.net/510055/,来源功效分类直接映射
already_present,,脉络宁注射液,脉络宁注射液,12,,0.92,高血脂,https://ypk.39.net/gaoxuezhi/,https://ypk.39.net/756976/,来源功效分类直接映射
already_present,,阿托伐他汀钙片,阿托伐他汀钙片(嘉林/阿乐),12,,0.92,高血脂,https://ypk.39.net/gaoxuezhi/,https://ypk.39.net/631782/,来源功效分类直接映射
already_present,,绞股蓝总甙片,绞股蓝总甙片(强健),12,,0.92,高血脂,https://ypk.39.net/gaoxuezhi/,https://ypk.39.net/510007/,来源功效分类直接映射
already_present,,前列地尔注射液,前列地尔注射液(凯时),12,,0.92,周围血管疾病,https://ypk.39.net/zhouweixueguanjibing/,https://ypk.39.net/504835/,来源功效分类直接映射
already_present,,脑立清丸,脑立清丸,12,,0.92,周围血管疾病,https://ypk.39.net/zhouweixueguanjibing/,https://ypk.39.net/510127/,来源功效分类直接映射
already_present,,活血通脉片,活血通脉片(维和),12,,0.92,周围血管疾病,https://ypk.39.net/zhouweixueguanjibing/,https://ypk.39.net/510137/,来源功效分类直接映射
already_present,,地奥司明片,地奥司明片(马应龙),12,,0.92,周围血管疾病,https://ypk.39.net/zhouweixueguanjibing/,https://ypk.39.net/757137/,来源功效分类直接映射
already_present,,宁心宝胶囊,宁心宝胶囊,12,,0.92,周围血管疾病,https://ypk.39.net/zhouweixueguanjibing/,https://ypk.39.net/578534/,来源功效分类直接映射
already_present,,心可舒胶囊,心可舒胶囊(国金),12,,0.92,周围血管疾病,https://ypk.39.net/zhouweixueguanjibing/,https://ypk.39.net/510063/,来源功效分类直接映射
already_present,,胰激肽原酶肠溶片,胰激肽原酶肠溶片(怡开),12,,0.92,周围血管疾病,https://ypk.39.net/zhouweixueguanjibing/,https://ypk.39.net/585706/,来源功效分类直接映射
already_present,,西洛他唑片,西洛他唑片(培达),12,,0.92,周围血管疾病,https://ypk.39.net/zhouweixueguanjibing/,https://ypk.39.net/507256/,来源功效分类直接映射
already_present,,吲哚布芬片,吲哚布芬片(辛贝),12,,0.92,周围血管疾病,https://ypk.39.net/zhouweixueguanjibing/,https://ypk.39.net/497745/,来源功效分类直接映射
already_present,,丹王颗粒,丹王颗粒(哈药六),12,,0.92,周围血管疾病,https://ypk.39.net/zhouweixueguanjibing/,https://ypk.39.net/690445/,来源功效分类直接映射
already_present,,通心络胶囊,通心络胶囊(以岭),12,,0.92,心脏及冠脉疾病,https://ypk.39.net/guanxinbing/,https://ypk.39.net/510024/,来源功效分类直接映射
already_present,,冠心丹参滴丸,冠心丹参滴丸(业锐),12,,0.92,心脏及冠脉疾病,https://ypk.39.net/guanxinbing/,https://ypk.39.net/509984/,来源功效分类直接映射
already_present,,复方丹参片,复方丹参片(白云山),12,,0.92,心脏及冠脉疾病,https://ypk.39.net/guanxinbing/,https://ypk.39.net/510143/,来源功效分类直接映射
already_present,,复方丹参滴丸,复方丹参滴丸(天士力),12,,0.92,心脏及冠脉疾病,https://ypk.39.net/guanxinbing/,https://ypk.39.net/510077/,来源功效分类直接映射
already_present,,参松养心胶囊,参松养心胶囊(以岭),12,,0.92,心脏及冠脉疾病,https://ypk.39.net/guanxinbing/,https://ypk.39.net/508664/,来源功效分类直接映射
already_present,,速效救心丸,速效救心丸(达仁堂),12,,0.92,心脏及冠脉疾病,https://ypk.39.net/guanxinbing/,https://ypk.39.net/510025/,来源功效分类直接映射
already_present,,麝香保心丸,麝香保心丸(上药牌),12,,0.92,心脏及冠脉疾病,https://ypk.39.net/guanxinbing/,https://ypk.39.net/510066/,来源功效分类直接映射
already_present,,养血清脑颗粒,养血清脑颗粒(天士力),12,,0.92,心脏及冠脉疾病,https://ypk.39.net/guanxinbing/,https://ypk.39.net/510046/,来源功效分类直接映射
already_present,,血塞通泡腾片,血塞通泡腾片,12,,0.92,心脏及冠脉疾病 | 中风偏瘫,https://ypk.39.net/guanxinbing/ | https://ypk.39.net/zhongfeng/,https://ypk.39.net/659820/,来源功效分类直接映射
already_present,,安宫牛黄丸,安宫牛黄丸(同仁堂),12,,0.92,中风偏瘫,https://ypk.39.net/zhongfeng/,https://ypk.39.net/510039/,来源功效分类直接映射
already_present,,脑心通胶囊,脑心通胶囊(步长),12,,0.92,中风偏瘫,https://ypk.39.net/zhongfeng/,https://ypk.39.net/674175/,来源功效分类直接映射
already_present,,疏血通注射液,疏血通注射液(友搏),12,,0.92,中风偏瘫,https://ypk.39.net/zhongfeng/,https://ypk.39.net/505872/,来源功效分类直接映射
already_present,,硫酸氢氯吡格雷片,硫酸氢氯吡格雷片(波立维),12,,0.92,中风偏瘫,https://ypk.39.net/zhongfeng/,https://ypk.39.net/505856/,来源功效分类直接映射
already_present,,血塞通分散片,血塞通分散片,12,,0.92,中风偏瘫,https://ypk.39.net/zhongfeng/,https://ypk.39.net/659875/,来源功效分类直接映射
already_present,,苦碟子注射液,苦碟子注射液(悦安欣),12,,0.92,中风偏瘫,https://ypk.39.net/zhongfeng/,https://ypk.39.net/497711/,来源功效分类直接映射
already_present,,华佗再造丸,华佗再造丸(白云山/奇星),12,,0.92,中风偏瘫,https://ypk.39.net/zhongfeng/,https://ypk.39.net/510047/,来源功效分类直接映射
already_present,,注射用七叶皂苷钠,注射用七叶皂苷钠(普叶通),12,,0.92,中风偏瘫,https://ypk.39.net/zhongfeng/,https://ypk.39.net/504799/,来源功效分类直接映射
already_present,,保妇康栓,保妇康栓(碧凯),14,,0.92,阴道炎,https://ypk.39.net/yindaoyan/,https://ypk.39.net/509025/,妇科功效分类直接映射
already_present,,消糜阴道泡腾片,消糜阴道泡腾片(千缘草),14,,0.92,阴道炎,https://ypk.39.net/yindaoyan/,https://ypk.39.net/509108/,妇科功效分类直接映射
already_present,,高锰酸钾,高锰酸钾,9,,0.92,阴道炎,https://ypk.39.net/yindaoyan/,https://ypk.39.net/502222/,人工审计按 PDF 类别边界修正
already_present,,康妇炎胶囊,康妇炎胶囊(步长),14,,0.92,阴道炎 | 痛经,https://ypk.39.net/yindaoyan/ | https://ypk.39.net/tongjing/,https://ypk.39.net/509510/,妇科功效分类直接映射
already_present,,洁尔阴洗液,洁尔阴洗液(恩威),14,,0.92,阴道炎,https://ypk.39.net/yindaoyan/,https://ypk.39.net/508988/,妇科功效分类直接映射
already_present,,替硝唑片,替硝唑片,2,,0.92,阴道炎,https://ypk.39.net/yindaoyan/,https://ypk.39.net/502216/,人工审计按 PDF 类别边界修正
already_present,,妇宁栓,妇宁栓(哈药),14,,0.92,阴道炎,https://ypk.39.net/yindaoyan/,https://ypk.39.net/509011/,妇科功效分类直接映射
already_present,,消糜栓,消糜栓(万通),14,,0.92,阴道炎,https://ypk.39.net/yindaoyan/,https://ypk.39.net/508987/,妇科功效分类直接映射
already_present,,抗妇炎胶囊,抗妇炎胶囊(远程),14,,0.92,阴道炎 | 痛经,https://ypk.39.net/yindaoyan/ | https://ypk.39.net/tongjing/,https://ypk.39.net/509030/,妇科功效分类直接映射
already_present,,红核妇洁洗液,红核妇洁洗液(步长),14,,0.92,阴道炎,https://ypk.39.net/yindaoyan/,https://ypk.39.net/509106/,妇科功效分类直接映射
already_present,,同仁乌鸡白凤丸,同仁乌鸡白凤丸(同仁堂),14,,0.92,月经不调,https://ypk.39.net/yuejingbutiao/,https://ypk.39.net/508981/,妇科功效分类直接映射
already_present,,乌鸡白凤丸,乌鸡白凤丸(汇仁),14,,0.92,月经不调 | 白带异常,https://ypk.39.net/yuejingbutiao/ | https://ypk.39.net/baidaiyichang/,https://ypk.39.net/509039/,妇科功效分类直接映射
already_present,,加味逍遥丸,加味逍遥丸(同仁堂),14,,0.92,月经不调,https://ypk.39.net/yuejingbutiao/,https://ypk.39.net/509001/,妇科功效分类直接映射
already_present,,八珍益母丸,八珍益母丸(同仁堂),14,,0.92,月经不调,https://ypk.39.net/yuejingbutiao/,https://ypk.39.net/508591/,妇科功效分类直接映射
already_present,,艾附暖宫丸,艾附暖宫丸(同仁堂),14,,0.92,月经不调 | 痛经,https://ypk.39.net/yuejingbutiao/ | https://ypk.39.net/tongjing/,https://ypk.39.net/509007/,妇科功效分类直接映射
already_present,,逍遥丸,逍遥丸(九芝堂),14,,0.92,月经不调,https://ypk.39.net/yuejingbutiao/,https://ypk.39.net/670024/,妇科功效分类直接映射
already_present,,定坤丹,定坤丹(广誉远),14,,0.92,月经不调,https://ypk.39.net/yuejingbutiao/,https://ypk.39.net/509049/,妇科功效分类直接映射
already_present,,加味益母草膏,加味益母草膏(今辰),14,,0.92,月经不调,https://ypk.39.net/yuejingbutiao/,https://ypk.39.net/646149/,妇科功效分类直接映射
already_present,,鹿胎颗粒,鹿胎颗粒(敖东),14,,0.92,月经不调,https://ypk.39.net/yuejingbutiao/,https://ypk.39.net/509029/,妇科功效分类直接映射
already_present,,桂枝茯苓胶囊,桂枝茯苓胶囊(康缘),14,,0.92,痛经,https://ypk.39.net/tongjing/,https://ypk.39.net/509041/,妇科功效分类直接映射
already_present,,鹿胎膏,鹿胎膏(龙潭山),14,,0.92,痛经 | 白带异常,https://ypk.39.net/tongjing/ | https://ypk.39.net/baidaiyichang/,https://ypk.39.net/509100/,妇科功效分类直接映射
already_present,,妇炎净胶囊,妇炎净胶囊(中华),14,,0.92,痛经,https://ypk.39.net/tongjing/,https://ypk.39.net/625197/,妇科功效分类直接映射
already_present,,妇科千金片,妇科千金片(千金),14,,0.92,白带异常,https://ypk.39.net/baidaiyichang/,https://ypk.39.net/508601/,妇科功效分类直接映射
already_present,,金鸡胶囊,金鸡胶囊(金鸡),14,,0.92,白带异常,https://ypk.39.net/baidaiyichang/,https://ypk.39.net/509033/,妇科功效分类直接映射
already_present,,花红片,花红片,14,,0.92,白带异常,https://ypk.39.net/baidaiyichang/,https://ypk.39.net/508980/,妇科功效分类直接映射
already_present,,洁尔阴泡腾片,洁尔阴泡腾片(恩威),14,,0.92,白带异常,https://ypk.39.net/baidaiyichang/,https://ypk.39.net/509065/,妇科功效分类直接映射
already_present,,妇科千金胶囊,妇科千金胶囊(千金),14,,0.92,白带异常,https://ypk.39.net/baidaiyichang/,https://ypk.39.net/509090/,妇科功效分类直接映射
already_present,,复方黄松洗液,复方黄松洗液(肤阴洁),14,,0.92,白带异常,https://ypk.39.net/baidaiyichang/,https://ypk.39.net/586022/,妇科功效分类直接映射
already_present,,妇炎康复片,妇炎康复片,14,,0.92,白带异常,https://ypk.39.net/baidaiyichang/,https://ypk.39.net/760583/,妇科功效分类直接映射
already_present,,妇乐颗粒,妇乐颗粒,14,,0.92,白带异常,https://ypk.39.net/baidaiyichang/,https://ypk.39.net/509066/,妇科功效分类直接映射
already_present,,乳块消胶囊,乳块消胶囊(强健),14,,0.92,乳腺增生,https://ypk.39.net/ruxianzengsheng/,https://ypk.39.net/623984/,妇科功效分类直接映射
already_present,,乳块消片,乳块消片,14,,0.92,乳腺增生,https://ypk.39.net/ruxianzengsheng/,https://ypk.39.net/508993/,妇科功效分类直接映射
already_present,,乳癖消片,乳癖消片(红药),14,,0.92,乳腺增生,https://ypk.39.net/ruxianzengsheng/,https://ypk.39.net/637412/,妇科功效分类直接映射
already_present,,乳增宁片,乳增宁片(大鹏),14,,0.92,乳腺增生,https://ypk.39.net/ruxianzengsheng/,https://ypk.39.net/623947/,妇科功效分类直接映射
already_present,,宫瘤宁片,宫瘤宁片,14,,0.92,乳腺增生,https://ypk.39.net/ruxianzengsheng/,https://ypk.39.net/589111/,妇科功效分类直接映射
already_present,,乳癖散结胶囊,乳癖散结胶囊(宝嫩牌),14,,0.92,乳腺增生,https://ypk.39.net/ruxianzengsheng/,https://ypk.39.net/624029/,妇科功效分类直接映射
review_curated_rejection,,散结乳癖膏(散结乳癖贴膏,散结乳癖膏(散结乳癖贴膏(粉红丝秀),,,0.92,乳腺增生,https://ypk.39.net/ruxianzengsheng/,https://ypk.39.net/684191/,人工审计判定名称含包装规格、残缺括号或缺少有效商品名
